Model,Checkpoint,Task,Metric,Run 1,Run 2,Run 3,Average,Percentage,olmo-params,Flops
OLMo-2-0325-32B,OLMo-2-0325-32B-100pct,bbh_adv,"exact_match,get-answer",0.1566579634464752,0.1568115496851482,0.1566579634464752,0.1567091588593662,1.0,32,7.049254841255837
OLMo-2-0325-32B,OLMo-2-0325-32B-100pct,cruxeval_i_adv,"pass@1,create_test",0.0595041322314049,0.0595041322314049,0.0595041322314049,0.0595041322314049,1.0,32,7.049254841255837
OLMo-2-0325-32B,OLMo-2-0325-32B-100pct,cruxeval_o_adv,"pass@1,create_test",0.1875,0.1903409090909091,0.1931818181818181,0.1903409090909091,1.0,32,7.049254841255837
OLMo-2-0325-32B,OLMo-2-0325-32B-100pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.1543232396935425,0.1542016295755807,0.1543232396935425,0.1542827029875552,1.0,32,7.049254841255837
OLMo-2-0325-32B,OLMo-2-0325-32B-100pct,gsm8k_adv,"exact_match,flexible-extract",0.1531422271223814,0.1532524807056229,0.1536934950385887,0.1533627342888644,1.0,32,7.049254841255837
OLMo-2-0325-32B,OLMo-2-0325-32B-100pct,triviaqa_adv,"exact_match,none",0.1111111111111111,0.1114488348530901,0.1117865585950692,0.1114488348530901,1.0,32,7.049254841255837
OLMo-2-0325-32B,OLMo-2-0325-32B-100pct,triviaqa_adv,"answer_exists,none",0.1317122593718338,0.132725430597771,0.1334008780817291,0.1326128560171113,1.0,32,7.049254841255837
OLMo-2-0325-32B,OLMo-2-0325-32B-10pct,bbh_adv,"exact_match,get-answer",0.04177545691906,0.041468284441714,0.042082629396406,0.04177545691906,0.1,32,4.746669748261791
OLMo-2-0325-32B,OLMo-2-0325-32B-10pct,cruxeval_i_adv,"pass@1,create_test",0.0347107438016528,0.0347107438016528,0.0297520661157024,0.0330578512396694,0.1,32,4.746669748261791
OLMo-2-0325-32B,OLMo-2-0325-32B-10pct,cruxeval_o_adv,"pass@1,create_test",0.1775568181818181,0.1775568181818181,0.1775568181818181,0.1775568181818182,0.1,32,4.746669748261791
OLMo-2-0325-32B,OLMo-2-0325-32B-10pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.0676152255867688,0.0671287851149215,0.0666423446430743,0.0671287851149215,0.1,32,4.746669748261791
OLMo-2-0325-32B,OLMo-2-0325-32B-10pct,gsm8k_adv,"exact_match,flexible-extract",0.061521499448732,0.061521499448732,0.0606394707828004,0.0612274898934215,0.1,32,4.746669748261791
